location,date,total_count
STEI,2017-07,6414
STEI,2017-08,5803
STEI,2017-09,4937
STEI,2017-10,58.0
STEI,2017-11,0.0
STEI,2018-05,141.0
STEI,2018-06,4053
STEI,2018-07,4104
STEI,2018-08,4060
STEI,2018-09,547
STEI,2018-10,0.0
STEI,2019-05,39
STEI,2019-06,4471
STEI,2019-07,4393
STEI,2019-08,4096
STEI,2019-09,1025
STEI,2019-10,14.0
STEI,2020-04,0.0
STEI,2020-05,0.0
STEI,2020-06,3741
STEI,2020-07,4074
STEI,2020-08,3960
STEI,2020-09,817
STEI,2020-10,544
STEI,2020-11,0.0
STEI,2021-04,0.0
STEI,2021-05,2116
STEI,2021-06,3999
STEI,2021-07,4074
STEI,2021-08,3086
STEI,2021-09,674
STEI,2021-10,0.0
TREE,2016-05,3568
TREE,2016-06,5984
TREE,2016-07,4907
TREE,2016-08,1277
TREE,2016-09,740.0
TREE,2016-10,2.0
TREE,2016-11,0.0
TREE,2017-04,12.0
TREE,2017-05,29.0
TREE,2017-06,5003
TREE,2017-07,5157
TREE,2017-08,6002
TREE,2017-09,1202
TREE,2017-10,6.0
TREE,2018-05,1828
TREE,2018-06,4748
TREE,2018-07,2616
TREE,2018-08,211
TREE,2018-09,41.0
TREE,2018-10,2.0
TREE,2018-11,0.0
TREE,2019-05,4166
TREE,2019-06,4286
TREE,2019-07,3814
TREE,2019-08,1196
TREE,2019-09,291
TREE,2019-10,0.0
TREE,2020-04,0.0
TREE,2020-05,0.0
TREE,2020-06,0.0
TREE,2020-07,6863
TREE,2020-08,2106
TREE,2020-09,437
TREE,2020-10,0.0
TREE,2020-11,0.0
TREE,2021-04,0.0
TREE,2021-05,88
TREE,2021-06,817
TREE,2021-07,2493
TREE,2021-08,1114
TREE,2021-09,347.0
TREE,2021-10,1
UNDE,2014-05,0.0
UNDE,2014-06,219387
UNDE,2014-07,107209
UNDE,2014-08,26018
UNDE,2014-09,684
UNDE,2014-10,6.0
UNDE,2016-03,0.0
UNDE,2016-04,18
UNDE,2016-05,4765.0
UNDE,2016-06,14400
UNDE,2016-07,15408
UNDE,2016-08,10332
UNDE,2016-09,6634
UNDE,2016-10,1755.0
UNDE,2016-11,7.0
UNDE,2017-02,0.0
UNDE,2017-03,0.0
UNDE,2017-04,27.0
UNDE,2017-05,596.0
UNDE,2017-06,15415
UNDE,2017-07,11257
UNDE,2017-08,9868
UNDE,2017-09,1593
UNDE,2017-10,331.0
UNDE,2017-11,0.0
UNDE,2018-04,0.0
UNDE,2018-05,4021
UNDE,2018-06,8163
UNDE,2018-07,8092
UNDE,2018-08,5389
UNDE,2018-09,357
UNDE,2018-10,2.0
UNDE,2018-11,0.0
UNDE,2019-04,2
UNDE,2019-05,15.0
UNDE,2019-06,8722
UNDE,2019-07,8060
UNDE,2019-08,10624
UNDE,2019-09,648
UNDE,2019-10,39.0
UNDE,2019-11,0.0
UNDE,2020-03,0.0
UNDE,2020-04,0.0
UNDE,2020-05,0.0
UNDE,2020-06,7770
UNDE,2020-07,8149
UNDE,2020-08,5660
UNDE,2020-09,1493
UNDE,2020-10,63.0
UNDE,2020-11,0.0
UNDE,2020-12,0.0
UNDE,2021-01,0.0
UNDE,2021-02,0.0
UNDE,2021-03,0.0
UNDE,2021-04,28.0
UNDE,2021-05,4065.0
UNDE,2021-06,7878
UNDE,2021-07,12033
UNDE,2021-08,2490
UNDE,2021-09,230
UNDE,2021-10,93.0
KONA,2017-06,102.0
KONA,2017-07,510
KONA,2017-08,2488
KONA,2017-09,1030.0
KONA,2017-10,143.0
KONA,2017-11,0.0
KONA,2018-05,0.0
KONA,2018-06,54
KONA,2018-07,414
KONA,2018-08,1728
KONA,2018-09,1319
KONA,2018-10,45
KONA,2018-11,0.0
KONA,2018-12,0.0
KONA,2019-05,0.0
KONA,2019-06,1759
KONA,2019-07,951
KONA,2019-08,2014
KONA,2019-09,1591
KONA,2019-10,147.0
KONA,2020-05,0.0
KONA,2020-06,527
KONA,2020-07,250
KONA,2020-08,1770
KONA,2020-09,908
KONA,2020-10,47
KONA,2020-11,0.0
KONA,2020-12,0.0
KONA,2021-06,1110
KONA,2021-07,1017
KONA,2021-08,542
KONA,2021-09,1080.0
KONA,2021-10,1
KONZ,2016-02,0.0
KONZ,2016-03,5.0
KONZ,2016-04,31.0
KONZ,2016-05,375.0
KONZ,2016-06,739.0
KONZ,2016-07,271.0
KONZ,2016-08,1569
KONZ,2016-09,1596
KONZ,2016-10,904
KONZ,2016-11,387
KONZ,2017-01,0.0
KONZ,2017-02,0.0
KONZ,2017-03,1
KONZ,2017-04,78
KONZ,2017-05,280.0
KONZ,2017-06,555
KONZ,2017-07,62.0
KONZ,2017-08,513.0
KONZ,2017-09,247.0
KONZ,2017-10,30
KONZ,2017-11,0.0
KONZ,2017-12,0.0
KONZ,2018-01,0.0
KONZ,2018-03,0.0
KONZ,2018-04,0.0
KONZ,2018-05,83
KONZ,2018-06,1
KONZ,2018-07,46.0
KONZ,2018-08,707
KONZ,2018-09,342
KONZ,2018-10,7
KONZ,2018-11,2
KONZ,2018-12,0.0
KONZ,2019-01,0.0
KONZ,2019-02,0.0
KONZ,2019-03,0.0
KONZ,2019-04,0.0
KONZ,2019-05,356.0
KONZ,2019-06,571
KONZ,2019-07,999
KONZ,2019-08,230
KONZ,2019-09,626
KONZ,2019-10,58.0
KONZ,2019-11,0.0
KONZ,2019-12,0.0
KONZ,2020-01,0.0
KONZ,2020-02,0.0
KONZ,2020-03,0.0
KONZ,2020-04,0.0
KONZ,2020-05,0.0
KONZ,2020-06,618
KONZ,2020-07,328.0
KONZ,2020-08,92
KONZ,2020-09,57
KONZ,2020-10,29
KONZ,2020-11,6
KONZ,2020-12,0.0
KONZ,2021-01,0.0
KONZ,2021-02,0.0
KONZ,2021-03,0.0
KONZ,2021-04,0.0
KONZ,2021-05,1
KONZ,2021-06,406
KONZ,2021-07,817
KONZ,2021-08,28
KONZ,2021-09,241
KONZ,2021-10,54
UKFS,2016-03,0.0
UKFS,2016-04,35.0
UKFS,2016-05,2145
UKFS,2016-06,1995
UKFS,2016-07,1837
UKFS,2016-08,2006
UKFS,2016-09,2222
UKFS,2016-10,217
UKFS,2016-11,142.0
UKFS,2017-03,4
UKFS,2017-04,2848
UKFS,2017-05,2120
UKFS,2017-06,609
UKFS,2017-07,1526
UKFS,2017-08,746
UKFS,2017-09,2793
UKFS,2017-10,656
UKFS,2017-11,4.0
UKFS,2018-05,122
UKFS,2018-06,129
UKFS,2018-07,187
UKFS,2018-08,309
UKFS,2018-09,930
UKFS,2018-10,508
UKFS,2018-11,17.0
UKFS,2019-05,744
UKFS,2019-06,349
UKFS,2019-07,384
UKFS,2019-08,1438
UKFS,2019-09,1635
UKFS,2019-10,201
UKFS,2019-11,0.0
UKFS,2020-04,0.0
UKFS,2020-05,0.0
UKFS,2020-06,127
UKFS,2020-07,280
UKFS,2020-08,982
UKFS,2020-09,134
UKFS,2020-10,49
UKFS,2020-11,4
UKFS,2020-12,0.0
UKFS,2021-05,1126
UKFS,2021-06,420
UKFS,2021-07,1208
UKFS,2021-08,897
UKFS,2021-09,581.0
UKFS,2021-10,89
GRSM,2016-03,0.0
GRSM,2016-04,10
GRSM,2016-05,15.0
GRSM,2016-06,29.0
GRSM,2016-07,12.0
GRSM,2016-08,13.0
GRSM,2016-09,26.0
GRSM,2016-10,36.0
GRSM,2016-11,21
GRSM,2017-03,9.0
GRSM,2017-04,36.0
GRSM,2017-05,13
GRSM,2017-06,24
GRSM,2017-07,24.0
GRSM,2017-08,124.0
GRSM,2017-09,48
GRSM,2017-10,0.0
GRSM,2017-11,3.0
GRSM,2017-12,0.0
GRSM,2018-03,0.0
GRSM,2018-04,0.0
GRSM,2018-05,9
GRSM,2018-06,14.0
GRSM,2018-07,12
GRSM,2018-08,39
GRSM,2018-09,27
GRSM,2018-10,27
GRSM,2018-11,0.0
GRSM,2019-03,0.0
GRSM,2019-04,30
GRSM,2019-05,21
GRSM,2019-06,3
GRSM,2019-07,4
GRSM,2019-08,26
GRSM,2019-09,25
GRSM,2019-10,19
GRSM,2019-11,0.0
GRSM,2019-12,6
GRSM,2020-03,0.0
GRSM,2020-04,0.0
GRSM,2020-05,2
GRSM,2020-06,9
GRSM,2020-07,0.0
GRSM,2020-08,0.0
GRSM,2020-09,0.0
GRSM,2020-10,0.0
GRSM,2020-11,0.0
GRSM,2020-12,0.0
GRSM,2021-03,1
GRSM,2021-04,1.0
GRSM,2021-05,8.0
GRSM,2021-06,31
GRSM,2021-07,7
GRSM,2021-08,0.0
GRSM,2021-09,6
GRSM,2021-10,0.0
MLBS,2017-10,15.0
MLBS,2017-11,0.0
MLBS,2017-12,0.0
MLBS,2018-03,0.0
MLBS,2018-04,1
MLBS,2018-05,34
MLBS,2018-06,44
MLBS,2018-07,87
MLBS,2018-08,25
MLBS,2018-09,14
MLBS,2018-10,5.0
MLBS,2018-11,0.0
MLBS,2019-02,0.0
MLBS,2019-03,0.0
MLBS,2019-04,0.0
MLBS,2019-05,10
MLBS,2019-06,10
MLBS,2019-07,63
MLBS,2019-08,20
MLBS,2019-09,9
MLBS,2019-10,1
MLBS,2019-11,0.0
MLBS,2020-03,0.0
MLBS,2020-04,0.0
MLBS,2020-05,0.0
MLBS,2020-06,0.0
MLBS,2020-07,61
MLBS,2020-08,0.0
MLBS,2020-09,0.0
MLBS,2020-10,0.0
MLBS,2020-11,0.0
MLBS,2020-12,0.0
MLBS,2021-04,0.0
MLBS,2021-05,2.0
MLBS,2021-06,0.0
MLBS,2021-07,0.0
MLBS,2021-08,0.0
MLBS,2021-09,0.0
MLBS,2021-10,2
ORNL,2014-05,141
